Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
115,"Bengio, A Lodi, A Prouvost",Machine learning for combinatorial optimization: a methodological tour d'horizon,933,2021, Elsevier, European Journal of Operational Research,https://www.sciencedirect.com/science/article/pii/S0377221720306895,311
242,"Lei, B Yang, X Jiang, F Jia, N Li, AK Nandi",Applications of machine learning to machine fault diagnosis: A review and roadmap,1217,2020, Elsevier, Mechanical Systems and …,https://www.sciencedirect.com/science/article/pii/S0888327019308088,304
226,"Henderson, R Islam, P Bachman, J Pineau…",Deep reinforcement learning that matters,1813,2018, ojs.aaai.org, … on artificial intelligence,https://ojs.aaai.org/index.php/AAAI/article/view/11694,302
143,"Xue, B Shen",A novel swarm intelligence optimization approach: sparrow search algorithm,1139,2020, Taylor & Francis, Systems science & control engineering,https://www.tandfonline.com/doi/abs/10.1080/21642583.2019.1708830,285
15,"Faramarzi, M Heidarinejad, B Stephens…",Equilibrium optimizer: A novel optimization algorithm,1135,2020, Elsevier,Based …,https://www.sciencedirect.com/science/article/pii/S0950705119305295,284
31,"Karaboga, B Basturk",On the performance of artificial bee colony (ABC) algorithm,4401,2008, Elsevier, Applied soft computing,https://www.sciencedirect.com/science/article/pii/S1568494607000531,275
91,"Zhou, X Chen, E Li, L Zeng, K Luo…",Edge intelligence: Paving the last mile of artificial intelligence with edge computing,1298,2019, ieeexplore.ieee.org, Proceedings of the …,https://ieeexplore.ieee.org/abstract/document/8736011/,260
72, Engelbrecht,Computational intelligence: an introduction,4395,2007, books.google.com,,https://books.google.com/books?hl=en&lr=&id=IZosIcgJMjUC&oi=fnd&pg=PR7&dq=optimization+algorithm+artificial+intelligence+&ots=DxnzAazrNj&sig=fT2Q24oo-cluKAAxLoxIjnSVeQw,259
97,"Karaboga, B Akay",A comparative study of artificial bee colony algorithm,3856,2009, Elsevier, Applied mathematics and computation,https://www.sciencedirect.com/science/article/pii/S0096300309002860,257
94,"Liu, B Yang, E Zio, X Chen",Artificial intelligence for fault diagnosis of rotating machinery: A review,1460,2018, Elsevier, Mechanical Systems and Signal Processing,https://www.sciencedirect.com/science/article/pii/S0888327018300748,243
203," Sivanandam, SN Deepa, SN Sivanandam…",Genetic algorithms,3877,2008, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-540-73190-0_2.pdf,242
139,"Raschka, V Mirjalili","Python machine learning: Machine learning and deep learning with Python, scikit-learn, and TensorFlow 2",1202,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=sKXIDwAAQBAJ&oi=fnd&pg=PP1&dq=optimization+algorithm+artificial+intelligence+&ots=V9KnsUTDEk&sig=uH8d92205fcYZfxVvIjiWIcJRzI,240
101,"Andrychowicz, M Denil, S Gomez…",Learning to learn by gradient descent by gradient descent,1904,2016, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/2016/hash/fb87582825f9d28a8d42c5e5e5e8b23d-Abstract.html,238
86,Rao,Jaya: A simple and new optimization algorithm for solving constrained and unconstrained optimization problems,1884,2016, growingscience.com, International Journal of Industrial Engineering …,http://growingscience.com/beta/ijiec/2072-jaya-a-simple-and-new-optimization-algorithm-for-solving-constrained-and-unconstrained-optimization-problems.html,236
167,Askarzadeh,A novel metaheuristic method for solving constrained engineering optimization problems: crow search algorithm,1765,2016, Elsevier, Computers & structures,https://www.sciencedirect.com/science/article/pii/S0045794916300475,221
127," Chen, H Zhang, Y Sharma, J Yi…",Zoo: Zeroth order optimization based black-box attacks to deep neural networks without training substitute models,1506,2017, dl.acm.org, … on artificial intelligence …,https://dl.acm.org/doi/abs/10.1145/3128572.3140448,215
110,"Yang, A Shami",On hyperparameter optimization of machine learning algorithms: Theory and practice,856,2020, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231220311693,214
1,"Wang, D Tan, L Liu",Particle swarm optimization algorithm: an overview,1266,2018, Springer, Soft computing,https://link.springer.com/article/10.1007/s00500-016-2474-6,211
20,Bubeck,Convex optimization: Algorithms and complexity,1844,2015, nowpublishers.com, Foundations and Trends® in Machine Learning,https://www.nowpublishers.com/article/Details/MAL-050,205
69,Ghahramani,Probabilistic machine learning and artificial intelligence,1793,2015, nature.com, Nature,https://www.nature.com/articles/nature14541,199
230,"Feurer, F Hutter",Hyperparameter optimization,986,2019, library.oapen.org, Automated machine learning: Methods …,https://library.oapen.org/bitstream/handle/20.500.12657/23012/1/1007149.pdf#page=15,197
35, Hopgood,Intelligent systems for engineers and scientists: A practical guide to artificial intelligence,591,2021, books.google.com,,https://books.google.com/books?hl=en&lr=&id=nwhlEAAAQBAJ&oi=fnd&pg=PP1&dq=optimization+algorithm+artificial+intelligence+&ots=2Q5-fYD8cr&sig=2wCnka0jWevzG5qaCpXd8boI8Fc,197
43,"Farhi, J Goldstone, S Gutmann",A quantum approximate optimization algorithm,1962,2014, arxiv.org, arXiv preprint arXiv:1411.4028,https://arxiv.org/abs/1411.4028,196
42,"Arora, S Singh",Butterfly optimization algorithm: a novel approach for global optimization,970,2019, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-018-3102-4,194
207,"Blank, K Deb",Pymoo: Multi-objective optimization in python,773,2020, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9078759/,193
111,"Konečný, HB McMahan, D Ramage…",Federated optimization: Distributed machine learning for on-device intelligence,1513,2016, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1610.02527,189
238,"Karaboga, B Gorkemli, C Ozturk…",A comprehensive survey: artificial bee colony (ABC) algorithm and applications,1867,2014, Springer, Artificial Intelligence …,https://link.springer.com/article/10.1007/s10462-012-9328-0,187
135, Bard,Practical bilevel optimization: algorithms and applications,1992,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=RPfTBwAAQBAJ&oi=fnd&pg=PR11&dq=optimization+algorithm+artificial+intelligence+&ots=dvvYqiAMZL&sig=jfvHeFkIQmLsbVWUPQuICoBZys8,181
120,"Lalmuanawma, J Hussain, L Chhakchhuak",Applications of machine learning and artificial intelligence for Covid-19 (SARS-CoV-2) pandemic: A review,724,2020, Elsevier, Chaos  Solitons & Fractals,https://www.sciencedirect.com/science/article/pii/S0960077920304562,181
52,"Khalil, H Dai, Y Zhang, B Dilkina…",Learning combinatorial optimization algorithms over graphs,1237,2017, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/2017/hash/d9896106ca98d3d05b8cbdf4fd8b13a1-Abstract.html,177
211,Deb,Optimization for engineering design: Algorithms and examples,2034,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=cN_kjtySMhIC&oi=fnd&pg=PR1&dq=optimization+algorithm+artificial+intelligence+&ots=jE2pXZsYQM&sig=_Rhuhl5XObAriUbFBzgC5Vndn-U,170
63,"Kaur, LK Awasthi, AL Sangal, G Dhiman",Tunicate Swarm Algorithm: A new bio-inspired based metaheuristic paradigm for global optimization,669,2020, Elsevier, … of Artificial Intelligence,https://www.sciencedirect.com/science/article/pii/S0952197620300385,167
25," Gandomi, AH Alavi",Krill herd: a new bio-inspired optimization algorithm,1929,2012, Elsevier, … in nonlinear science and numerical simulation,https://www.sciencedirect.com/science/article/pii/S1007570412002171,161
85," Hashim, K Hussain, EH Houssein, MS Mabrouk…",Archimedes optimization algorithm: a new metaheuristic algorithm for solving optimization problems,473,2021, Springer, … Intelligence,https://link.springer.com/article/10.1007/s10489-020-01893-z,158
30," Došilović, M Brčić, N Hlupić",Explainable artificial intelligence: A survey,894,2018, ieeexplore.ieee.org, 2018 41st International …,https://ieeexplore.ieee.org/abstract/document/8400040/,149
79, Pan,A new fruit fly optimization algorithm: taking the financial distress model as an example,1711,2012, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705111001365,143
217,"Wang, Q Liu, H Liang, G Joshi…",Tackling the objective inconsistency problem in heterogeneous federated optimization,571,2020, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/2020/hash/564127c03caab942e503ee6f810f54fd-Abstract.html,143
62,"Wu, XY Chen, H Zhang, LD Xiong, H Lei…",Hyperparameter optimization for machine learning models based on Bayesian optimization,708,2019, Elsevier, Journal of Electronic …,https://www.sciencedirect.com/science/article/pii/S1674862X19300047,142
184,"Zhou, ST Wang, S Choi, H Pichler, MD Lukin","Quantum approximate optimization algorithm: Performance, mechanism, and implementation on near-term devices",557,2020, APS, Physical Review X,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.10.021067,139
16," Mafarja, S Mirjalili",Hybrid whale optimization algorithm with simulated annealing for feature selection,968,2017, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S092523121730807X,138
46," Cheng, D Prayogo",Symbiotic organisms search: a new metaheuristic optimization algorithm,1376,2014, Elsevier, Computers & Structures,https://www.sciencedirect.com/science/article/pii/S0045794914000881,138
109,"Zhao, Z Zhang, L Wang",Manta ray foraging optimization: An effective bio-inspired optimizer for engineering applications,538,2020, Elsevier, … Applications of Artificial Intelligence,https://www.sciencedirect.com/science/article/pii/S0952197619302593,134
83,"Dhiman, V Kumar",Seagull optimization algorithm: Theory and its applications for large-scale industrial engineering problems,659,2019, Elsevier,based systems,https://www.sciencedirect.com/science/article/pii/S0950705118305768,132
26,"Deng, H Zhao, W Fang, J Yin…",Edge intelligence: The confluence of edge computing and artificial intelligence,526,2020, ieeexplore.ieee.org, IEEE Internet of …,https://ieeexplore.ieee.org/abstract/document/9052677/,132
196,"Tambe, P Cappelli…",Artificial intelligence in human resources management: Challenges and a path forward,635,2019, journals.sagepub.com, California Management …,https://journals.sagepub.com/doi/pdf/10.1177/0008125619867910,127
21,"Khishe, MR Mosavi",Chimp optimization algorithm,508,2020, Elsevier, Expert systems with applications,https://www.sciencedirect.com/science/article/pii/S0957417420301639,127
2,"Zhang, S Wang, G Ji",A comprehensive survey on particle swarm optimization algorithm and its applications,1111,2015, hindawi.com, Mathematical problems in engineering,https://www.hindawi.com/journals/MPE/2015/931256/,123
191,"Ahmed, V Sreeram, Y Mishra, MD Arif",A review and evaluation of the state-of-the-art in PV solar power forecasting: Techniques and optimization,481,2020, Elsevier, Renewable and Sustainable …,https://www.sciencedirect.com/science/article/pii/S1364032120300885,120
244,"Bottou, O Bousquet",The tradeoffs of large scale learning,2033,2007, proceedings.neurips.cc, Advances in neural information …,https://proceedings.neurips.cc/paper/2007/hash/0d3180d672e08b4c5312dcdafdf6ef36-Abstract.html,120
55,"Dunjko, HJ Briegel",Machine learning & artificial intelligence in the quantum domain: a review of recent progress,715,2018, iopscience.iop.org, Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/1361-6633/aab406/meta,119
4,Simon,Evolutionary optimization algorithms,1313,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=gwUwIEPqk30C&oi=fnd&pg=PP1&dq=optimization+algorithm+artificial+intelligence+&ots=GMr2GqNii2&sig=31H6JT5mSUJ8lNmH5mCoPq9iaI8,119
175,"Toğaçar, B Ergen, Z Cömert",COVID-19 detection using deep learning models to exploit Social Mimic Optimization and structured chest X-ray images using fuzzy color and stacking approaches,471,2020, Elsevier, Computers in biology and medicine,https://www.sciencedirect.com/science/article/pii/S0010482520301736,118
204,"Jain, K Deb","An evolutionary many-objective optimization algorithm using reference-point based nondominated sorting approach, part II: Handling constraints and extending to an …",1291,2013, ieeexplore.ieee.org, IEEE Transactions on evolutionary computation,https://ieeexplore.ieee.org/abstract/document/6595567/,117
114,"Akay, D Karaboga",A modified artificial bee colony algorithm for real-parameter optimization,1408,2012, Elsevier, Information sciences,https://www.sciencedirect.com/science/article/pii/S0020025510003336,117
157,"Hussain, MN Mohd Salleh, S Cheng, Y Shi",Metaheuristic research: a comprehensive survey,575,2019, Springer, Artificial intelligence review,https://link.springer.com/article/10.1007/s10462-017-9605-z,115
234,"Bullock, A Luccioni, KH Pham, CSN Lam…",Mapping the landscape of artificial intelligence applications against COVID-19,449,2020, jair.org, … of Artificial Intelligence …,http://www.jair.org/index.php/jair/article/view/12162,112
249,Ray,A quick review of machine learning algorithms,551,2019, ieeexplore.ieee.org, 2019 International conference on machine learning …,https://ieeexplore.ieee.org/abstract/document/8862451/,110
29,"Zhu, S Kwong",Gbest-guided artificial bee colony algorithm for numerical function optimization,1527,2010, Elsevier, Applied mathematics and computation,https://www.sciencedirect.com/science/article/pii/S0096300310009136,109
146,"Ranganath, S Gerrish, D Blei",Black box variational inference,1076,2014, proceedings.mlr.press, Artificial intelligence and …,http://proceedings.mlr.press/v33/ranganath14,108
60,Zhang,Improved adam optimizer for deep neural networks,637,2018, ieeexplore.ieee.org, 2018 IEEE/ACM 26th international symposium on …,https://ieeexplore.ieee.org/abstract/document/8624183/,106
134,"Krittanawong, HJ Zhang, Z Wang, M Aydar…",Artificial intelligence in precision cardiovascular medicine,741,2017, jacc.org, Journal of the American …,https://www.jacc.org/doi/abs/10.1016/j.jacc.2017.03.571,106
187,"Marini, B Walczak",Particle swarm optimization (PSO). A tutorial,948,2015, Elsevier, Chemometrics and Intelligent Laboratory Systems,https://www.sciencedirect.com/science/article/pii/S0169743915002117,105
200,"Faris, I Aljarah, MA A",Grey wolf optimizer: a review of recent variants and applications,631,2018, Springer, Neural computing and …,https://link.springer.com/article/10.1007/s00521-017-3272-5,105
227,"Wang, H Chen",Chaotic multi-swarm whale optimizer boosted support vector machine for medical diagnosis,418,2020, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494619307276,104
241," Hashimoto, G Rosman, D Rus…",Artificial intelligence in surgery: promises and perils,616,2018, journals.lww.com, Annals of surgery,https://journals.lww.com/annalsofsurgery/FullText/2018/07000/Artificial_Intelligence_in_Surgery__Promises_and.13.aspx,103
93," Vardakas, N Zorba…",A survey on demand response programs in smart grids: Pricing methods and optimization algorithms,1021,2014, ieeexplore.ieee.org, … Surveys & Tutorials,https://ieeexplore.ieee.org/abstract/document/6861959/,102
106," Raza, A Khosravi",A review on artificial intelligence based load demand forecasting techniques for smart grid and buildings,919,2015, Elsevier, Renewable and Sustainable Energy Reviews,https://www.sciencedirect.com/science/article/pii/S1364032115003354,102
216,"Golovin, B Solnik, S Moitra, G Kochanski…",Google vizier: A service for black-box optimization,710,2017, dl.acm.org, Proceedings of the 23rd …,https://dl.acm.org/doi/abs/10.1145/3097983.3098043,101
229,"Gambhir, V Gupta",Recent automatic text summarization techniques: a survey,704,2017, Springer, Artificial Intelligence Review,https://link.springer.com/article/10.1007/s10462-016-9475-9,101
9,"Aljarah, H Faris, S Mirjalili",Optimizing connection weights in neural networks using the whale optimization algorithm,600,2018, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-016-2442-1,100
213,"Hadfield, Z Wang, B O'gorman, EG Rieffel…",From the quantum approximate optimization algorithm to a quantum alternating operator ansatz,502,2019, mdpi.com, Algorithms,https://www.mdpi.com/410500,100
41,"Karaboga, C Ozturk",A novel clustering approach: Artificial Bee Colony (ABC) algorithm,1284,2011, Elsevier, Applied soft computing,https://www.sciencedirect.com/science/article/pii/S1568494609002798,99
47,"Karaboga, B Basturk",Artificial bee colony (ABC) optimization algorithm for solving constrained optimization problems,1658,2007, Springer, Foundations of Fuzzy Logic and Soft Computing …,https://link.springer.com/chapter/10.1007/978-3-540-72950-1_77,98
168,"Boumal, B Mishra, PA Absil, R Sepulchre","Manopt, a Matlab toolbox for optimization on manifolds",966,2014, jmlr.org, … Journal of Machine Learning …,https://www.jmlr.org/papers/volume15/boumal14a/boumal14a.pdf,97
37,"Salehi, R Burgueño",Emerging artificial intelligence methods in structural engineering,583,2018, Elsevier, Engineering structures,https://www.sciencedirect.com/science/article/pii/S0141029617335526,97
158,"Yang, Y Wang, R Byrne, G Schneider…",Concepts of artificial intelligence for computer-assisted drug discovery,481,2019, ACS Publications, Chemical …,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.8b00728,96
19,Beni,Swarm intelligence,385,2020, Springer, Complex Social and Behavioral Systems: Game …,https://link.springer.com/content/pdf/10.1007/978-1-0716-0368-0_530.pdf,96
105,Civicioglu,Backtracking search optimization algorithm for numerical optimization problems,1033,2013, Elsevier, Applied Mathematics and computation,https://www.sciencedirect.com/science/article/pii/S0096300313001380,94
215,"Elbeltagi, T Hegazy, D Grierson",Comparison among five evolutionary-based optimization algorithms,1765,2005, Elsevier, Advanced engineering informatics,https://www.sciencedirect.com/science/article/pii/S1474034605000091,93
112," Mirjalili, S Mirjalili, S Saremi, H Faris, I Aljarah",Grasshopper optimization algorithm for multi-objective optimization problems,560,2018, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-017-1019-8,93
64,"Karaboga, E Kaya",Adaptive network based fuzzy inference system (ANFIS) training approaches: a comprehensive survey,461,2019, Springer, Artificial Intelligence Review,https://link.springer.com/article/10.1007/s10462-017-9610-2,92
11,"Deng, J Xu, H Zhao",An improved ant colony optimization algorithm based on hybrid strategies for scheduling problem,459,2019, ieeexplore.ieee.org, IEEE access,https://ieeexplore.ieee.org/abstract/document/8635465/,92
89,"Sun, Z Cao, H Zhu, J Zhao",A survey of optimization methods from a machine learning perspective,455,2019, ieeexplore.ieee.org, IEEE transactions on cybernetics,https://ieeexplore.ieee.org/abstract/document/8903465/,91
214,"El Naqa, MJ Murphy",What is machine learning?,810,2015, Springer,,https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1,90
117," Yannakakis, J Togelius",Artificial intelligence and games,530,2018, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-319-63519-4.pdf,88
183," Miller, EW Brown",Artificial intelligence in medical practice: the question to the answer?,517,2018, Elsevier, The American journal of medicine,https://www.sciencedirect.com/science/article/pii/S0002934317311178,86
132,"Millington, J Funge",Artificial intelligence for games,1293,2009, books.google.com,,https://books.google.com/books?hl=en&lr=&id=4CLOBgAAQBAJ&oi=fnd&pg=PP1&dq=optimization+algorithm+artificial+intelligence+&ots=6b0HCMVMET&sig=rEm9eBSWSONzlGOxHHGRuFYJmpk,86
162," Erol, I Eksin",A new optimization method: big bang–big crunch,1545,2006, Elsevier, Advances in Engineering Software,https://www.sciencedirect.com/science/article/pii/S0965997805000827,86
33,Ferreira,Gene expression programming: mathematical modeling by an artificial intelligence,1531,2006, books.google.com,,https://books.google.com/books?hl=en&lr=&id=NkG7BQAAQBAJ&oi=fnd&pg=PR7&dq=optimization+algorithm+artificial+intelligence+&ots=Y_qszBXpC1&sig=xrb0T9guoR_rZ7ct6Vvs0Rk_T-8,85
156,"Wangni, J Wang, J Liu…",Gradient sparsification for communication-efficient distributed optimization,510,2018, proceedings.neurips.cc, Advances in Neural …,https://proceedings.neurips.cc/paper/2018/hash/3328bdf9a4b9504b9398284244fe97c2-Abstract.html,85
77,Bertsekas,Convex optimization algorithms,743,2015, books.google.com,,https://books.google.com/books?hl=en&lr=&id=OwQ7EAAAQBAJ&oi=fnd&pg=PR1&dq=optimization+algorithm+artificial+intelligence+&ots=XaNBT1MwKt&sig=Jv8dfvWGkXUMP7VTQx82Unda0BQ,83
67,"Klein, S Falkner, S Bartels…",Fast bayesian optimization of machine learning hyperparameters on large datasets,584,2017, proceedings.mlr.press, Artificial intelligence …,http://proceedings.mlr.press/v54/klein17a.html,83
181," Sayed, AE Hassanien, AT Azar",Feature selection via a novel chaotic crow search algorithm,405,2019, Springer, Neural computing and applications,https://link.springer.com/article/10.1007/s00521-017-2988-6,81
39,Weise,Global optimization algorithms-theory and application,1199,2009, researchgate.net,Published Thomas Weise,https://www.researchgate.net/profile/Amir-Taherpour-2/post/Can_anyone_suggest_me_some_article_to_compare_some_optimization_algorithms_such_as_PSO_SA_FUZZY_GA_and_etc/attachment/59d6350c79197b8077992a72/AS%3A382691284406273%401468252120670/download/2008-11-01,80
147,"Fister Jr, XS Yang, I Fister, J Brest, D Fister",A brief review of nature-inspired algorithms for optimization,869,2013, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1307.4186,79
80,"Nie, X Wang, M Jordan, H Huang",The constrained laplacian rank algorithm for graph-based clustering,624,2016, ojs.aaai.org, … conference on artificial intelligence,https://ojs.aaai.org/index.php/AAAI/article/view/10302,78
190,"Hutter, HH Hoos, K Leyto",ParamILS: an automatic algorithm configuration framework,1173,2009, jair.org, … of Artificial Intelligence …,http://www.jair.org/index.php/jair/article/view/10628,78
221,A A,A review on recent size optimization methodologies for standalone solar and wind hybrid renewable energy system,532,2017, Elsevier, Energy conversion and …,https://www.sciencedirect.com/science/article/pii/S0196890417303230,76
95,Muño,Towards poisoning of deep learning algorithms with back-gradient optimization,529,2017, dl.acm.org, … on artificial intelligence …,https://dl.acm.org/doi/abs/10.1145/3128572.3140451,76
54,"Civicioglu, E Besdok","A conceptual comparison of the Cuckoo-search, particle swarm optimization, differential evolution and artificial bee colony algorithms",824,2013, Springer, Artificial intelligence review,https://link.springer.com/article/10.1007/s10462-011-9276-0,75
36,Blum,Ant colony optimization: Introduction and recent trends,1414,2005, Elsevier, Physics of Life reviews,https://www.sciencedirect.com/science/article/pii/S1571064505000333,74
141,"Mirjalili, P Jangir, S Saremi",Multi-objective ant lion optimizer: a multi-objective optimization algorithm for solving engineering problems,516,2017, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-016-0825-8,74
159,"Sra, S Nowozin, SJ Wright",Optimization for machine learning,888,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=JPQx7s2L1A8C&oi=fnd&pg=PR5&dq=optimization+algorithm+artificial+intelligence+&ots=vekcBjj5Cb&sig=ClzEX4qApHZg5ZPOc3Fp2vW1FgA,74
102,"Abd El Aziz, AA Ewees, AE Hassanien",Whale optimization algorithm and moth-flame optimization for multilevel thresholding image segmentation,508,2017, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417417302671,73
103,"Cheng, Y Jin",A social learning particle swarm optimization algorithm for scalable optimization,655,2015, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025514008366,73
13,"Mavrovouniotis, C Li, S Yang",A survey of swarm intelligence for dynamic optimization: Algorithms and applications,504,2017, Elsevier, Swarm and Evolutionary Computation,https://www.sciencedirect.com/science/article/pii/S2210650216302541,72
128,"Bergstra, D Yamins, DD Cox",Hyperopt: A python library for optimizing the hyperparameters of machine learning algorithms,795,2013, pdfs.semanticscholar.org, Proceedings of the 12th …,https://pdfs.semanticscholar.org/d4f4/9717c9adb46137f49606ebbdf17e3598b5a5.pdf,72
151,"Yazdani, F Jolai",Lion optimization algorithm (LOA): a nature-inspired metaheuristic algorithm,569,2016, academic.oup.com, Journal of computational design and …,https://academic.oup.com/jcde/article-abstract/3/1/24/5743375,71
171,"Neri, V Tirronen",Recent advances in differential evolution: a survey and experimental analysis,982,2010, Springer, Artificial intelligence review,https://link.springer.com/article/10.1007/s10462-009-9137-2,70
49,Bai,Analysis of particle swarm optimization algorithm,972,2010, academia.edu, Computer and information science,https://www.academia.edu/download/68108551/7fd5f734cb4c6c9457e22f46a58be5edb662.pdf,69
178, Ab,Optimal distributed generation allocation and sizing in distribution systems via artificial bee colony algorithm,873,2011, ieeexplore.ieee.org, IEEE transactions on power …,https://ieeexplore.ieee.org/abstract/document/6029809/,67
155," Ojha, A Abraham, V Snášel",Metaheuristic design of feedforward neural networks: A review of two decades of research,470,2017, Elsevier, … Applications of Artificial Intelligence,https://www.sciencedirect.com/science/article/pii/S0952197617300234,67
224,"Naruei, F Keynia",Wild horse optimizer: A new meta-heuristic algorithm for solving engineering optimization problems,131,2022, Springer, Engineering with computers,https://link.springer.com/article/10.1007/s00366-021-01438-z,66
