Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
13,Shirky,"The political power of social media: Technology, the public sphere, and political change",3055,2011, JSTOR, Foreign affairs,https://www.jstor.org/stable/25800379,235
12,"King, J Pan, ME Roberts",How censorship in China allows government criticism but silences collective expression,2558,2013, cambridge.org, American political science Review,https://www.cambridge.org/core/journals/american-political-science-review/article/how-censorship-in-china-allows-government-criticism-but-silences-collective-expression/C7EF4A9C9D59425C2D09D83742C1FE00,233
106,Gerbaudo,Tweets and the streets: Social media and contemporary activism,2758,2012, library.oapen.org,,https://library.oapen.org/handle/20.500.12657/30772,230
105,"Gikas, MM Grant","Mobile computing devices in higher education: Student perspectives on learning with cellphones, smartphones & social media",2514,2013, Elsevier, The Internet and Higher Education,https://www.sciencedirect.com/science/article/pii/S1096751613000262,229
1," O'Keeffe, K Clark","The impact of social media on children, adolescents, and families",2945,2011, publications.aap.org, Pediatrics,https://publications.aap.org/ExternalLoginResponse.ashx?elpId=3&redirecturlback=http://publications.aap.org/pediatrics/article/127/4/800/65133/The-Impact-of-Social-Media-on-Children-Adolescents?autologincheck=redirected&nfToken=00000000-0000-0000-0000-000000000000,227
178," Sawyer, RA Afifi, LH Bearinger, SJ Blakemore…",Adolescence: a foundation for future health,2703,2012, thelancet.com, The lancet,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(12)60072-5/fulltext?_eventId%3Dlogin,225
21," Bertot, PT Jaeger, JM Grimes",Using ICTs to create a culture of transparency: E-government and social media as openness and anti-corruption tools for societies,3108,2010, Elsevier, Government information quarterly,https://www.sciencedirect.com/science/article/pii/S0740624X10000201,222
96,Safko,"The social media bible: tactics, tools, and strategies for business success",3100,2010, books.google.com,,https://books.google.com/books?hl=en&lr=&id=2c0Yrp1X-o8C&oi=fnd&pg=PR5&dq=child+policy+internet+social+network&ots=VfyyXb7Nw6&sig=d5D2MCpYbGeq_C2G0h3bH7wVsp4,221
40," Moorhead, DE Hazlett, L Harrison, JK Carroll…","A new dimension of health care: systematic review of the uses, benefits, and limitations of social media for health communication",2411,2013, jmir.org, … of medical Internet …,https://www.jmir.org/2013/4/e85/jmir_v15i4e85_app3.pdf,219
63,"Wang, M McKee, A Torbica, D Stuckler",Systematic literature review on the spread of health-related misinformation on social media,1086,2019, Elsevier, Social science & medicine,https://www.sciencedirect.com/science/article/pii/S0277953619305465,217
143,Van Dijck,"Datafication, dataism and dataveillance: Big Data between scientific paradigm and ideology",2174,2014, ojs.library.queensu.ca, Surveillance & society,https://ojs.library.queensu.ca/index.php/surveillance-and-society/article/view/4776,217
58,"Whiting, D Williams",Why people use social media: a uses and gratifications approach,2352,2013, emerald.com, Qualitative market research: an international …,https://www.emerald.com/insight/content/doi/10.1108/qmr-06-2013-0041/full/html,214
66,"Ashley, T Tuten",Creative strategies in social media marketing: An exploratory study of branded social content and consumer engagement,1905,2015, Wiley Online Library, Psychology & marketing,https://onlinelibrary.wiley.com/doi/abs/10.1002/mar.20761,212
37," Kuss, MD Griffiths",Online social networking and addiction—a review of the psychological literature,2656,2011, mdpi.com, … journal of environmental research and public …,https://www.mdpi.com/1660-4601/8/9/3528/htm?hc_location=uf,204
132,Freeman,The development of social network analysis,4089,2004, researchgate.net, A Study in the Sociology of Science,https://www.researchgate.net/profile/Linton-Freeman-2/publication/239228599_The_Development_of_Social_Network_Analysis/links/54415c650cf2e6f0c0f616a8/The-Development-of-Social-Network-Analysis.pdf,204
141," Kowalski, SP Limber, PW Agatston",Cyberbullying: Bullying in the digital age,2426,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=26u_2BbA_74C&oi=fnd&pg=PR8&dq=child+policy+internet+social+network&ots=rfOgDNBtlx&sig=NKkCxkxukmZxXShXbxTptlA7Y7k,202
30,Boyd,Why youth (heart) social network sites: The role of networked publics in teenage social life,3237,2008, papers.ssrn.com, YOUTH  IDENTITY  AND DIGITAL MEDIA  David …,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1518924,202
33,Ito,"Hanging out, messing around, and geeking out: Kids living and learning with new media",2197,2013, library.oapen.org,,https://library.oapen.org/handle/20.500.12657/26060,200
206,"Junco, G Heiberger, E Loken",The effect of Twitter on college student engagement and grades,2520,2011, Wiley Online Library, Journal of computer assisted …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2729.2010.00387.x,194
16," Bolton, A Parasuraman, A Hoefnagels…",Understanding Generation Y and their use of social media: a review and research agenda,2127,2013, emerald.com, Journal of service …,https://www.emerald.com/insight/content/doi/10.1108/09564231311326987/fu,193
44,"Steinfield, NB Ellison, C Lampe","Social capital, self-esteem, and use of online social network sites: A longitudinal analysis",3037,2008, Elsevier, Journal of applied developmental …,https://www.sciencedirect.com/science/article/pii/S0193397308000701,190
42,Livingstone,"Taking risky opportunities in youthful content creation: teenagers' use of social networking sites for intimacy, privacy and self-expression",3000,2008, journals.sagepub.com, New media & society,https://journals.sagepub.com/doi/abs/10.1177/1461444808089415,188
177,Kadushin,"Understanding social networks: Theories, concepts, and findings",2196,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=f_dQEAAAQBAJ&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=I5kCoKpWXs&sig=74lD2J3utvGufhHG9zp3ixgmqPM,183
229," Marwick, R Lewis",Media manipulation and disinformation online,1279,2017, apo.org.au,,https://apo.org.au/sites/default/files/resource-files/2017-05/apo-nid135936.pdf,183
166," Fowler, NA Christakis",Dynamic spread of happiness in a large social network: longitudinal analysis over 20 years in the Framingham Heart Study,2834,2008, bmj.com, Bmj,https://www.bmj.com/content/337/bmj.a2338.long,177
46," Woods, H Scott","# Sleepyteens: Social media use in adolescence is associated with poor sleep quality, anxiety, depression and low self-esteem",1405,2016, Elsevier, Journal of adolescence,https://www.sciencedirect.com/science/article/pii/S0140197116300343,176
101,"Tufekci, C Wilson",Social media and the decision to participate in political protest: Observations from Tahrir Square,2110,2012, academic.oup.com, Journal of communication,https://academic.oup.com/joc/article-abstract/62/2/363/4085823,176
225,Fox,"The social life of health information, 2011",2230,2011, search.issuelab.org,,https://search.issuelab.org/resources/12475/12475.pdf,172
152," Christakis, JH Fowler",The collective dynamics of smoking in a large social network,2738,2008, Mass Medical Soc, New England journal of medicine,https://www.nejm.org/doi/full/10.1056/nejmsa0706154,171
47," Berthon, LF Pitt, K Plangger, D Shapiro","Marketing meets Web 2.0, social media, and creative consumers: Implications for international marketing strategy",2045,2012, Elsevier, Business horizons,https://www.sciencedirect.com/science/article/pii/S0007681312000080,170
153, Joinson,"Looking at, looking up or keeping up with people? Motives and use of Facebook",2710,2008, dl.acm.org, Proceedings of the SIGCHI conference on Human …,https://dl.acm.org/doi/abs/10.1145/1357054.1357213,169
94,"Park, KF Kee, S Valenzuela","Being immersed in social networking environment: Facebook groups, uses and gratifications, and social outcomes",2513,2009, liebertpub.com, Cyberpsychology & behavior,https://www.liebertpub.com/doi/abs/10.1089/cpb.2009.0003,168
74, Marwick,"Status update: Celebrity, publicity, and branding in the social media age",1846,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=xcrYAQAAQBAJ&oi=fnd&pg=PA1&dq=child+policy+internet+social+network&ots=G0q1YZ4ZZO&sig=sbpnegWaV3ux1HH56b056MmtacA,168
110,"Ellison, DM Boyd",Sociality through social network sites,1835,2013, academic.oup.com,,https://academic.oup.com/edited-volume/34364/chapter/328422615,167
79,Qualman,Socialnomics: How social media transforms the way we live and do business,2008,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=p2A96JKRlY4C&oi=fnd&pg=PR9&dq=child+policy+internet+social+network&ots=35fxaFihCg&sig=XQLi6T_Shx_-2GRqkgh5XqxVRqE,167
93," Muntinga, M Moorman, EG Smit",Introducing COBRAs: Exploring motivations for brand-related social media use,2096,2011, Taylor & Francis, International Journal of …,https://www.tandfonline.com/doi/abs/10.2501/IJA-30-1-013-046,161
92,"Bonilla, J Rosa","# Ferguson: Digital protest, hashtag ethnography, and the racial politics of social media in the United States",1444,2015, Wiley Online Library, American ethnologist,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1111/amet.12112,160
57," Kuss, MD Griffiths",Social networking sites and addiction: Ten lessons learned,1110,2017, mdpi.com, … journal of environmental research and public …,https://www.mdpi.com/1660-4601/14/3/311,159
159," Goh, CS Heng, Z Lin",Social media brand community and consumer behavior: Quantifying the relative impact of user-and marketer-generated content,1706,2013, pubsonline.informs.org, Information systems research,https://pubsonline.informs.org/doi/abs/10.1287/isre.1120.0469,155
154,Rogers,Digital methods,1693,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=mLtEAgAAQBAJ&oi=fnd&pg=PP6&dq=child+policy+internet+social+network&ots=x1htbyjRIr&sig=kegO9t7MPIyEaL04oE0T2OBOb80,154
233," Kowalski, SP Limber",Electronic bullying among middle school students,2607,2007, Elsevier, Journal of adolescent health,https://www.sciencedirect.com/science/article/pii/S1054139X07003618,153
4,"Miller, J Sinanan, X Wang, T McDonald, N Haynes…",How the world changed social media,1207,2016, library.oapen.org,,https://library.oapen.org/handle/20.500.12657/32834,151
83,"Hansen, B Shneiderman, MA Smith",Analyzing social media networks with NodeXL: Insights from a connected world,2112,2010, books.google.com,,https://books.google.com/books?hl=en&lr=&id=rbxPm93PRY8C&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=MzlDb8UnG5&sig=ANXhTUlk9RkYVOIbkykOuqQQ1aI,151
39," Kaplan, M Haenlein","Higher education and the digital revolution: About MOOCs, SPOCs, social media, and the Cookie Monster",1210,2016, Elsevier, Business horizons,https://www.sciencedirect.com/science/article/pii/S000768131630009X,151
17,"King, J Pan, ME Roberts","How the Chinese government fabricates social media posts for strategic distraction, not engaged argument",1035,2017, cambridge.org, American political science review,https://www.cambridge.org/core/journals/american-political-science-review/article/how-the-chinese-government-fabricates-social-media-posts-for-strategic-distraction-not-engaged-argument/4662DB26E2685BAF1485F14369BD137C,148
128,Mehdizadeh,Self-presentation 2.0: Narcissism and self-esteem on Facebook,2049,2010, liebertpub.com, Cyberpsychology  behavior  and social networking,https://www.liebertpub.com/doi/abs/10.1089/cyber.2009.0257,146
112,"Holland, M Tiggemann",A systematic review of the impact of the use of social networking sites on body image and disordered eating outcomes,1160,2016, Elsevier, Body image,https://www.sciencedirect.com/science/article/pii/S1740144516300912,145
5," Obar, SS Wildman",Social media definition and the governance challenge-an introduction to the special issue,1289,2015, papers.ssrn.com, …   JA and Wildman  S.(2015). Social media …,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2663153,143
64," Lin, JE Sidani, A Shensa, A Radovic…",Association between social media use and depression among US young adults,1115,2016, Wiley Online Library, Depression and …,https://onlinelibrary.wiley.com/doi/abs/10.1002/da.22466,139
87," Munar, JKS Jacobsen",Motivations for sharing tourism experiences through social media,1390,2014, Elsevier, Tourism management,https://www.sciencedirect.com/science/article/pii/S0261517714000132,139
19," Reid Chassiakos, J Radesky, D Christakis…",Children and adolescents and digital media,1105,2016, publications.aap.org, …,https://publications.aap.org/pediatrics/article-abstract/138/5/e20162593/60349,138
188,"Madianou, D Miller",Migration and new media: Transnational families and polymedia,1508,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=6V3FBQAAQBAJ&oi=fnd&pg=PT5&dq=child+policy+internet+social+network&ots=1vI-v3T5Pv&sig=0Ewzh5frB-HOkryAARjt6u6D7y0,137
214," Helsper, R Eynon",Digital natives: where is the evidence?,1919,2010, Wiley Online Library, British educational research journal,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1080/01411920902989227,137
25,Linders,From e-government to we-government: Defining a typology for citizen coproduction in the age of social media,1637,2012, Elsevier, Government information quarterly,https://www.sciencedirect.com/science/article/pii/S0740624X12000883,136
164,"G Chou, N Edge",“They are happier and having better lives than I am”: The impact of using Facebook on perceptions of others' lives,1573,2012, liebertpub.com, …   behavior  and social networking,https://www.liebertpub.com/doi/abs/10.1089/cyber.2011.0324,131
137,"Pittman, B Reich",Social media and loneliness: Why an Instagram picture may be worth more than a thousand Twitter words,1045,2016, Elsevier, Computers in Human Behavior,https://www.sciencedirect.com/science/article/pii/S0747563216302552,131
98," Hughes, M Rowe, M Batey, A Lee",A tale of two sites: Twitter vs. Facebook and the personality predictors of social media usage,1557,2012, Elsevier, Computers in human behavior,https://www.sciencedirect.com/science/article/pii/S0747563211002457,130
168,"Greenhow, B Robelia…","Learning, Teaching, and Scholarship in a Digital Age: Web 2.0 and Classroom Research: What Path Should We Take Now?",1926,2009, journals.sagepub.com, Educational researcher,https://journals.sagepub.com/doi/pdf/10.3102/0013189X09336671,128
169,Phillips,This is why we can't have nice things: Mapping the relationship between online trolling and mainstream culture,1146,2015, books.google.com,,https://books.google.com/books?hl=en&lr=&id=pjYhBwAAQBAJ&oi=fnd&pg=PR7&dq=child+policy+internet+social+network&ots=TGR1dLUpdv&sig=85aytF-ORFUNfYyo9Tqh-Yf58Ao,127
121," Vogel, JP Rose, LR Roberts…","Social comparison, social media, and self-esteem.",1270,2014, psycnet.apa.org, … of popular media culture,https://psycnet.apa.org/buy/2014-33471-001.,127
27," Hoffman, M Fodor",Can you measure the ROI of your social media marketing?,1759,2010, sloanreview.mit.edu, MIT Sloan management review,https://sloanreview.mit.edu/x/52105,126
157,Prell,"Social network analysis: History, theory and methodology",1632,2011, torrossa.com, Social Network Analysis,https://www.torrossa.com/gs/resourceProxy?an=4913142&publisher=FZ7200,126
107," Waters, E Burnett, A Lamm, J Lucas",Engaging stakeholders through social networking: How nonprofit organizations are using Facebook,1887,2009, Elsevier, Public relations review,https://www.sciencedirect.com/science/article/pii/S0363811109000046,126
80,"Subrahmanyam, SM Reich, N Waechter…",Online and offline social networks: Use of social networking sites by emerging adults,2017,2008, Elsevier, Journal of applied …,https://www.sciencedirect.com/science/article/pii/S0193397308000713,126
60,Hargittai,Whose space? Differences among users and non-users of social network sites,2131,2007, academic.oup.com,mediated communication,https://academic.oup.com/jcmc/article-abstract/13/1/276/4583068,125
14,"Lovejoy, GD Saxton","Information, community, and action: How nonprofit organizations use social media",1489,2012, academic.oup.com,mediated …,https://academic.oup.com/jcmc/article-abstract/17/3/337/4067685,124
7,"Best, R Manktelow, B Taylor","Online communication, social media and adolescent wellbeing: A systematic narrative review",1222,2014, Elsevier, Children and Youth Services Review,https://www.sciencedirect.com/science/article/pii/S0190740914000693,122
11, Andreassen,Online social network site addiction: A comprehensive review,1092,2015, Springer, Current Addiction Reports,https://link.springer.com/article/10.1007/s40429-015-0056-9?source=post_page,121
90,"Wang, C Yu, Y Wei",Social media peer communication and impacts on purchase intentions: A consumer socialization framework,1455,2012, journals.sagepub.com, Journal of interactive marketing,https://journals.sagepub.com/doi/pdf/10.1016/j.intmar.2011.11.004,121
99," Kane, M Alavi, G Labianca, SP Borgatti",What's different about social media networks? A framework and research agenda,1195,2014, JSTOR, MIS quarterly,https://www.jstor.org/stable/26554878,120
221," Christakis, JH Fowler",Social contagion theory: examining dynamic social networks and human behavior,1311,2013, Wiley Online Library, Statistics in medicine,https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.5408,119
151," Gonzales, JT Hancock","Mirror, mirror on my Facebook wall: Effects of exposure to Facebook on self-esteem",1546,2011, liebertpub.com, …   behavior  and social networking,https://www.liebertpub.com/doi/abs/10.1089/cyber.2009.0411,119
246,Scholz,Digital labor: The internet as playground and factory,1422,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=-6ec1yPK_KAC&oi=fnd&pg=PP2&dq=child+policy+internet+social+network&ots=e4ftcLxysK&sig=euZgPkjiMhJOWD-roG5yMYTEFog,118
68,Zarrella,The social media marketing book,1755,2009, books.google.com,,https://books.google.com/books?hl=en&lr=&id=chd3yfExXMEC&oi=fnd&pg=PR4&dq=child+policy+internet+social+network&ots=u8P6t-y4U-&sig=d9fGJSxBWvF5rpbQ9jbXJoV-N_8,117
109,Turner,Generation Z: Technology and social interest,1050,2015, muse.jhu.edu, The journal of individual Psychology,https://muse.jhu.edu/pub/15/article/586631/summary,117
231,Fung,Putting the public back into governance: The challenges of citizen participation and its future,1056,2015, Wiley Online Library, Public administration review,https://onlinelibrary.wiley.com/doi/abs/10.1111/puar.12361,117
